_AverageReward,Steps,Zero steps,% of optimal actions,% of pure optimal actions,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,Beta,_lr_multiplier
17.8398344,2500000,0,0.0,0.0,0.011990168842749626,0.7125634512690254,-0.04299600381267298,-24.494068663110863,29.458284187974893,0.9999998871311809,-8506.558893099276,-42135.60942968163,0.0,45260557.3712321,1,1.24,0.018319167,0.199,3.2848196,0.24250804,0.93842727,1.2795231,0.011593242,3,0.995
20.2112664,2500000,0,0.0,0.0,0.00013605273817098745,0.7546678933578671,-0.013795721321953882,-13.859348787540007,34.4732111189817,0.9999998128148176,-10050.973852643016,-42389.19361025676,-603.20511362096,36347237.64975666,2,2.12,-0.01886769,0.198,3.4793425,0.28309253,0.9999094,1.4051323,0.022839747,3,0.99
21.0325584,2500000,0,0.0,0.0,8.88980339697624e-05,0.7515884317686353,0.00817932048250384,-12.246632990230028,23.613835274982687,0.9999997871857327,-10498.320509032943,-42876.99158165725,-929.0435774030507,44389386.091390215,3,3.0,-0.03192316,0.197,4.2499237,0.23943804,0.9997837,1.3760698,0.023777489,3,0.985
19.4685328,2500000,0,0.0,0.0,5.500444342433606e-05,0.7488131762635253,0.03574712358333539,-17.912219666374863,26.94792165737346,0.9999997417416235,-9821.925376530457,-44089.08332974843,-1290.4366225185565,40475363.78957689,4,3.88,-0.054535635,0.196,4.2259135,0.232572,1.0003175,1.346494,0.02238524,3,0.98
18.5593164,2500000,0,0.0,0.0,3.982118254794e-05,0.7507040140802816,0.055856955919016404,-29.876423856507206,19.36528286567722,0.9999996855475245,-9447.701158328256,-38976.834069095494,-1503.0874366342273,36976162.10612533,5,4.76,-0.07921943,0.195,3.7880466,0.26644763,1.0002846,1.3290007,0.023640517,3,0.975
16.5286012,2500000,0,0.0,0.0,2.6881389744847102e-05,0.7667109342186844,0.08358898828407163,-33.84080501577593,23.5590232034741,0.9999996204797738,-8543.446111743295,-40388.7929081134,-1765.7299323224677,30932203.38627772,6,5.64,-0.10598472,0.194,2.3212168,0.4084989,1.0001298,1.3242574,0.013512431,3,0.97
16.3122784,2500000,0,0.0,0.0,2.086131582111727e-05,0.7754061081221625,0.11511321601379344,-51.0483641258554,32.63110510963131,0.9999995701643845,-8484.743157388008,-43590.28088820124,-1951.991795439451,29807613.618863735,7,6.51,-0.140759,0.193,2.5602112,0.39234108,1.0000064,1.2928507,0.017867332,3,0.965
15.9786288,2500000,0,0.0,0.0,1.535510736446638e-05,0.7983411668233364,0.13903231523114046,-34.93326162199202,26.596645595378483,0.9999995160126912,-8362.416150903147,-38533.51260444707,-2109.391714457131,29007926.153189875,8,7.38,-0.16285501,0.192,2.6496675,0.37797087,0.9999799,1.2614717,0.021106865,3,0.96
17.5715044,2500000,0,0.0,0.0,1.2032675550506168e-05,0.8189097781955639,0.19879382931709005,-24.20573683949394,26.369203945705546,0.9999994810358168,-9117.144077683557,-36693.33129681256,-2186.399012322331,33750636.13437606,9,8.25,-0.22008055,0.191,2.7262032,0.3740094,0.999914,1.2280645,0.021917116,3,0.955
17.3995276,2500000,0,0.0,0.0,1.569680610653135e-05,0.8421818436368728,0.22408179063701036,-24.285744761051237,33.02223071570309,0.9999994634540742,-9057.845269402322,-37411.881038732216,-2267.0857864221875,33650189.59180305,10,9.11,-0.2539129,0.19,2.821736,0.3540113,1.0000929,1.1875733,0.023188945,3,0.95
17.7930928,2500000,0,0.0,0.0,1.225772296807903e-05,0.8612764255285106,0.24783173768094238,-30.459063370135237,25.127029186425215,0.9999994600437467,-9291.22106990473,-37130.84849758843,-2338.445194281875,35657531.36438447,11,9.96,-0.279495,0.189,2.9607284,0.35104105,0.9999624,1.1553913,0.022694176,3,0.945
16.3327596,2500000,0,0.0,0.0,1.041090797074395e-05,0.900657413148263,0.25665329802905373,-44.358293694068415,35.29836599801881,0.9999994268651884,-8634.935770085605,-46124.31200464789,-2370.9132323409467,34235240.54538156,12,10.84,-0.28934455,0.188,3.092282,0.34578764,0.9997953,1.1093693,0.02254757,3,0.94
17.3432072,2500000,0,0.0,0.0,9.430797242461405e-06,0.9047934958699174,0.3145870988200049,-29.685198194038545,26.063584932704956,0.9999994048759604,-9109.0875140797,-35323.60251448265,-2389.637568487395,29740484.994971145,13,11.7,-0.3512613,0.18700000000000003,3.1765268,0.32905346,0.9997479,1.0749962,0.0239562,3,0.935
16.2962056,2500000,0,0.0,0.0,1.1494463848191804e-05,0.955997519950399,0.2883615696449862,-37.28956804127382,23.170630856328092,0.999999440773731,-8648.15390970116,-39059.880595125316,-2395.1507755942584,35020112.19488422,14,12.56,-0.3275081,0.186,3.0494432,0.33623832,1.000193,1.0276406,0.022914447,3,0.9299999999999999
16.9493572,2500000,0,0.0,0.0,1.2533699564145643e-05,0.9687295745914918,0.3143379137486351,-51.249240946094226,26.656364002729823,0.9999994347702666,-8978.373303592422,-41714.3974871418,-2394.420400339372,38197460.23170927,15,13.42,-0.3550439,0.18500000000000003,3.1711752,0.31459486,0.9998272,0.9894374,0.024421021,3,0.925
15.6680092,2500000,0,0.0,0.0,7.47587738781778e-06,1.0000588011760234,0.32345059437214746,-32.110170988621455,20.447186353998063,0.9999994167480232,-8377.299853483351,-34309.092544665495,-2422.564172460525,27064598.857889906,16,14.28,-0.36124068,0.18400000000000002,3.2149134,0.32008573,0.9997693,0.93729484,0.023207981,3,0.92
15.6968464,2500000,0,0.0,0.0,1.4049400447634298e-05,1.0256743134862698,0.33146727811450116,-50.43833281621331,31.62237289739309,0.9999994264831739,-8385.140826777533,-40166.916545891916,-2413.927001920303,28514670.36342767,17,15.14,-0.37454933,0.18300000000000002,3.2077563,0.31385583,0.9999934,0.9020932,0.024333445,3,0.915
16.5962856,2500000,0,0.0,0.0,9.520909182536271e-06,1.0363011260225206,0.34494210827994853,-43.66763589428172,29.89191450679659,0.999999419855936,-8830.652563777963,-48325.22727921234,-2429.5947310968427,36102967.919166215,18,16.0,-0.37466815,0.18200000000000002,3.3497193,0.32019597,0.9999968,0.861936,0.022484697,3,0.91
16.876236,2500000,0,0.0,0.0,1.629966223777925e-05,1.0556783135662713,0.29858223533091405,-80.59858761361883,38.19861102718598,0.9999994845272586,-8963.22863087961,-54708.97804903703,-2436.4945902180584,45577540.08890042,19,16.85,-0.3221865,0.18100000000000002,3.3662336,0.3103175,0.999907,0.8281704,0.020744298,3,0.905
